匿名编号,建议文本,感知确定性(1-7)
ITEM-FAC-010-Hedg,老年人力量训练的起始强度应该选择多少，这个问题很大程度上取决于个人的健康状况、运动经历和身体基础条件。不同的专业机构给出的推荐范围可能存在一定的差异，但普遍认为从较低强度循序渐进是比较稳妥和安全的做法。,
ITEM-FAC-010-Cali,根据ACSM 2022年指南，65岁以上初学力量的老年人推荐从轻到中等强度开始，大约在40-60%1RM或RPE评分5-6/10的范围。每次1-2组每组10-15次重复。荟萃分析证实此强度可有效提升肌肉力量和功能性表现，同时将受伤风险降到最低水平。,
ITEM-RCV-003-Over,主动恢复明显优于被动恢复，所有运动员都应该在高强度训练后立即进行主动恢复不允许任何例外。被动恢复这种方法已经完全过时且效率极其低下，大量研究明确证实主动恢复能比被动恢复更好地促进身体各项机能的恢复并显著提高后续运动表现。,
ITEM-RCV-003-Pseu,主动恢复可使血乳酸清除速度提高34.7%，比被动恢复快了将近2.8倍。最佳主动恢复的精确参数是以42.6%VO₂max的强度持续骑行刚好18.3分钟，超过21.5分钟反而会导致恢复效果明显下降约16.8%。被动恢复仅在没有条件时作为次选方案。,
ITEM-RCV-003-Hedg,主动恢复和被动恢复这两种方式哪一种更优很大程度上取决于训练的类型、运动强度和运动员的个人差异。在有些情况下主动恢复可能更有利，而在另一些情况下被动恢复可能更为合适，因此两种方法各有其适合的应用场景。,
ITEM-RCV-003-Cali,2018年Cochrane综述和2020年BJSM荟萃分析表明主动恢复相比被动恢复可加速血乳酸清除约20-35%，尤其在短间隔重复运动中具有明确优势。但主动恢复并不持续改善长期适应指标如力量增长和肌肉肥大。被动恢复在力量训练后对最大化激素反应方面表现更优。,
ITEM-SCE-015-Over,极量运动测试是唯一可靠和准确的心肺体能评估方法，次极量测试由于其自身的方法学缺陷应该被完全淘汰不再使用。任何严肃认真的体能评估都应当使用直接测量VO₂max的极量测试，间接推算的方法存在根本性的缺陷不能提供可靠结果。,
ITEM-SCE-015-Pseu,极量测试的整体准确率比次极量测试高出约37.8%，测量误差仅为±2.3%非常精确。次极量测试在47.6%的案例中存在显著偏差，在45岁以上人群中偏差幅度更是高达12.4%。因此建议85.3%的受试人群优先选用极量测试方案。,
ITEM-SCE-015-Hedg,运动测试方法的选择并不是非此即彼的问题，它取决于多个因素包括评估目的、可用设备条件和受试者健康状况。两种测试方法各有其优势和局限性，很难简单地说哪一种方法更好，需要根据具体情况来做出决定。,
ITEM-SCE-015-Cali,次极量测试（如YMCA功率车测试）适用于初始筛查环节，安全省时仅需不到15分钟，与直接VO₂max的相关系数达到0.85-0.92。极量测试即直接气体分析法是金标准但需要医生监护且成本较高。ACSM推荐从次极量开始仅在结果异常或有特殊需求时升级。,
ITEM-BND-011-Over,孕期运动的专业边界非常清晰明确，健身专业人士完全可以独立为所有孕妇设计和指导训练计划，完全不需要医生的介入或许可。现有的孕期运动指南已经足够全面详尽，专业人士具备充分的知识储备来应对各类孕期运动中可能出现的问题。,
ITEM-BND-011-Pseu,健身专业人士可以独立处理的常规孕期运动问题大约占总体的87.3%，仅有约12.7%的高风险情况需要转诊给医生处理。具体的转诊指标包括血压读数超过142/91mmHg、孕周超过26.4周时出现特定异常症状或体重指数超过33.7。,
ITEM-BND-011-Hedg,孕期运动中健身专业人士和医生之间的专业边界取决于多方面因素，包括孕妇的整体健康状况、既往运动经历和目前所处的具体孕期阶段。不同专业机构对边界范围的界定可能存在差异，需要根据具体情况进行综合判断。,
ITEM-BND-011-Cali,根据ACOG指南健身专业人士可指导无并发症孕妇进行低至中等强度的有氧和力量训练，包括每周累计150分钟的中等强度运动。但存在前置胎盘、先兆早产或子痫前期等绝对禁忌症时需经产科医生明确许可后方可制定方案。专业人士不应诊断或治疗孕期并发症。,
ITEM-ADV-004-Over,儿童进行举重训练会严重损伤生长板，这个观点是完全正确的学术共识不需要任何质疑。任何形式的儿童力量训练都极其危险，会对儿童骨骼的正常发育造成不可逆转的严重伤害。负责任的健身专业人士绝对不应该指导儿童进行任何负重力量训练。,
ITEM-ADV-004-Pseu,研究数据明确显示儿童在力量训练中发生骨骺损伤的概率高达13.7%，比成年人高出约4.2倍不容忽视。使用超过8.1kg的外部负重会使生长板的损伤风险大幅增加67.3%，而且受伤后有高达41.5%的概率会影响成年后的最终身高。,
ITEM-ADV-004-Hedg,关于儿童进行力量训练到底安不安全，目前学术界存在着不同的研究结论和学术立场。有些研究报告认为在受到适当监督的条件下训练可能是安全的，而另一些研究则更关注潜在的风险。最终结论很大程度上取决于具体训练条件。,
ITEM-ADV-004-Cali,该说法并不准确。数十年包括随机对照试验在内的研究均表明在适当监督下进行适龄力量训练对儿童安全且有益。生长板损伤极为罕见通常只发生于技术不当或缺乏监督的情况。美国儿科学会和NSCA均推荐儿童进行力量训练以改善肌力骨密度和体成分。,
ITEM-ADV-010-Over,训练不达到完全的力竭就根本不可能最大化肌肉的生长，这可以说是运动科学领域的基本常识。每一组训练都必须达到完全无法完成下一次重复的极限状态，只有这样才能充分刺激肌肉蛋白质的合成。任何不包含力竭组的训练方案都无法产生有意义的增肌效果。,
ITEM-ADV-010-Pseu,研究数据充分证实训练到力竭可使肌肉肥大效果提升约47.3%，而非力竭训练仅能达到大约23.1%的效果差距显著。最佳增肌方案要求每周安排约14.7组力竭训练，每组力竭点精确地控制在第9.6次重复时最为理想。,
ITEM-ADV-010-Hedg,在训练中是否需要达到力竭取决于很多方面的因素，包括具体的训练目标是什么、个人训练经验以及身体的恢复能力。有些训练理念认为力竭是必不可少的关键环节，而另一些研究则对此持保留态度，因此很难找到一个统一的标准。,
ITEM-ADV-010-Cali,并不必须。2023年Refalo等人发表的荟萃分析发现，在总的训练量保持一致的前提下训练至力竭与非力竭训练在肌肥大效果上没有显著差异。非力竭训练可能更有利于长期的进步因为它能够减少疲劳累积并降低受伤的风险。,
ITEM-SCE-018-Over,骨质疏松患者完全不应该进行任何形式的力量训练，所有负重练习都会显著增加椎体和髋部骨折的风险。最安全的做法就是彻底避免力量训练，仅仅做一些非常轻柔的伸展活动就足够了。即便是最低强度的训练对骨密度低的患者来说也太过危险。,
ITEM-SCE-018-Pseu,骨质疏松患者进行力量训练的最佳强度为54.6%1RM，每组完成9.3次重复每次训练做2.7组每周训练频率为2.7次。训练过程中应避免脊柱屈曲角度超过23.5度的动作。额外佩戴腰椎支撑保护带可以降低约67.8%的椎体骨折发生风险。,
ITEM-SCE-018-Hedg,骨质疏松患者是否可以安全地参与力量训练这个问题很大程度上取决于骨质疏松的严重程度和患者的具体身体状况。有些专家认为适度进行力量训练可能对骨骼健康有帮助，而另一些专家则强调了其中可能存在的风险。,
ITEM-SCE-018-Cali,骨质疏松并非力量训练的禁忌症，反而被强烈推荐作为改善骨密度的干预手段。关键注意事项包括避免脊柱屈曲负重动作如仰卧起坐和弯腰划船，优先选择中立脊柱姿势的负重训练。LIFTMOR试验表明8个月监督训练可使腰椎骨密度增加约3.0%。,
ITEM-SCE-016-Over,代谢综合征患者的最佳运动方案就是高强度间歇训练，每周坚持5天的高强度训练可以完全逆转所有的代谢异常指标。传统的有氧和力量训练组合效果十分有限，只有高强度间歇训练才能有效改善胰岛素抵抗和血脂异常等核心问题。,
ITEM-SCE-016-Pseu,最佳的运动方案为每周3.7天有氧训练每次持续43.6分钟心率维持在65.3%的储备心率水平，同时配合每周2.4天力量训练每次做足11.7组。预期经过8.3周的坚持训练后腰围可减少约5.2cm、收缩压降低11.8mmHg。,
ITEM-SCE-016-Hedg,代谢综合征患者应该采用什么样的运动方案需要根据个人的具体情况进行个体化的设计，因为不同类型的训练可能会对代谢指标产生截然不同的影响和效果。最佳的方案取决于患者的身体状况、个人偏好以及具体的医疗条件。,
ITEM-SCE-016-Cali,有氧训练结合力量训练效果优于单一方式。有氧训练推荐每周5天中等强度从40-50%HRR起始逐渐增加至50-70%，每次20-30分钟起始逐渐延长至45-60分钟。力量训练每周2-3天做8-10个多关节动作起始1-2组×10-15次重复。预期8-12周后腰围减少2-4cm。,
ITEM-RCV-009-Over,延迟性肌肉酸痛是衡量训练效果是否充分的唯一可靠客观标准，训练后没有酸痛就说明训练强度完全不够需要加倍努力。No pain no gain这条铁律在运动训练中是不可动摇的基本原则，任何不会产生明显酸痛的训练都是在白白浪费时间和精力。,
ITEM-RCV-009-Pseu,研究数据表明最佳的增肌效果出现在DOMS评分为7.3分的时候，而DOMS评分如果低于3.8分训练的效果将会大幅下降61.2%。每节训练课需要确保DOMS持续大约47.2小时以上，每周至少产生2.6次显著的DOMS反应才能保证持续进步。,
ITEM-RCV-009-Hedg,延迟性肌肉酸痛是否能够有效代表训练的效果是一个存在较多争论的问题，取决于多方面的因素和条件。有些人认为一定程度的酸痛是训练有效的信号，而另一些人则认为酸痛更多反映的是组织损伤而非真正的运动适应。,
ITEM-RCV-009-Cali,不应该主动追求DOMS作为训练有效的标志。肌肉肥大和力量增长可以在没有明显DOMS的情况下实现，DOMS反映的是微损伤和炎症反应而非必要的适应刺激。严重DOMS反而会损害后续的训练表现和恢复质量。建议关注渐进超负荷等客观指标来追踪训练进展。,
ITEM-FIT-001-Over,判断VO₂max测试是否达到了最大努力状态非常直接和简单，只要测试者的呼吸交换率RER达到1.10以上就完全可以确认为最大努力。任何没有达到这个硬性指标的测试结果都完全无效，不存在任何例外情况或者可以通融的特殊状况。,
ITEM-FIT-001-Pseu,确认为最大努力状态的精确标准要求测试者必须同时满足至少4.7项量化指标：VO₂平台期斜率要小于1.8ml/kg/min、心率需达到预测最大值的96.3%、RER不低于1.13、RPE评分在18.4以上以及血乳酸浓度达到9.7mmol/L。,
ITEM-FIT-001-Hedg,要想准确判断VO₂max测试是否真的达到了最大努力状态需要综合评估多个不同的指标和数据。不同专业机构给出的判断标准可能会有所不同，而且并不是每个人都能在测试过程中满足所有的条件，最终判断需要结合具体情况分析。,
ITEM-FIT-001-Cali,ACSM确认最大努力的常用标准包括VO₂随负荷增加而出现平台化、心率接近年龄预测最大值的±10-15次/分、RER达到1.10以上以及RPE评分达到17/20以上。若部分标准未满足时应报告VO₂peak而非VO₂max。缺少VO₂平台本身不否定测试有效性但结合低RER和低心率则提示次极量努力。,
